symbol,timeframe,ema_x,ema_y,final_balance,profit_pct,profit_pct_no_shift,lookahead_delta,bh_return_pct,alpha_pct,profit_factor,sharpe,sortino,calmar,omega_ratio,ulcer_index,recovery_factor,tail_ratio,max_drawdown_pct,max_dd_bars,total_trades,win_rate_pct,payoff_ratio,expectancy_pct,expectancy_dol,sqn,kelly_fraction,kelly_profit_pct,risk_of_ruin_pct,long_trades,long_win_rate,long_profit_pct,short_trades,short_win_rate,short_profit_pct,max_consec_wins,max_consec_loss,avg_win_pct,avg_loss_pct,avg_hold_bars,avg_mae_pct,avg_mfe_pct,avg_edge_ratio,t_stat,p_value,is_significant,ljung_box_p,has_autocorrelation,mc_p5,mc_p50,mc_p95,mc_prob_ruin,mc_sharpe_p5,mc_sharpe_p95,robustness_score,cagr_pct,wf_oos_avg,wf_oos_min,wf_oos_max,wf_oos_positive_folds,wf_oos_total_folds,regime_best_emas
XAU,3h,202,267,401331.86,301.33,-83.5,-384.83,82.29,219.04,6.26,3.27,2.79,10.86,6.56,6.85,10.86,3.88,-27.75,2,17,88.24,0.83,9.24,17725.4,3.27,0.7414,189.92,0.0,9,88.89,197.78,8,87.5,34.77,8,1,12.35,-14.11,235.2,-11.75,13.53,6.85,3.175,0.0059,True,0.007,True,177608.1,398831.0,786141.61,0.0,1.28,8.07,100.0,175.83,7.49,-23.09,29.68,2,3,"{'Bullish': {'ema_x': 102, 'ema_y': 262, 'profit_factor': 4.1}, 'Bearish': {'ema_x': 42, 'ema_y': 112, 'profit_factor': 3.31}, 'Sideways': {'ema_x': 52, 'ema_y': 182, 'profit_factor': 9.29}}"
TSLA,30m,179,294,393516.11,293.52,1155.37,861.85,2069.13,-1775.61,1.48,-1.45,-1.73,0.53,0.04,309.73,0.53,0.0,-557.66,2,5,60.0,0.99,-132.06,58703.22,-1.45,0.1953,-100.31,0.0,3,66.67,29.8,2,50.0,203.17,2,2,-52.11,-251.99,799.6,-224.53,9.66,0.74,-1.296,0.2647,False,1.0,False,-1513688.86,-46019.25,2256555.7,52.2,-2.94,19.5,100.0,40357.35,-74.86,-117.65,-14.81,0,3,"{'Bullish': {'ema_x': 242, 'ema_y': 282, 'profit_factor': 1.57}, 'Bearish': {'ema_x': 2, 'ema_y': 82, 'profit_factor': 0.75}, 'Sideways': {'ema_x': 2, 'ema_y': 32, 'profit_factor': 1.18}}"
NVDA,5m,44,54,344928.62,244.93,-89.16,-334.09,-32.46,277.39,1.57,1.95,1.56,4.34,1.94,23.31,4.34,0.67,-56.48,18,66,77.27,0.46,2.72,3711.04,1.95,0.2806,59.56,0.0,34,70.59,106.71,32,84.38,66.87,10,2,7.26,-12.7,60.6,-9.08,6.65,7.51,1.936,0.0572,False,0.3795,False,46906.08,380067.83,1926280.49,5.6,0.2,5.3,100.0,1.3190875792005018e+16,77.26,-29.03,216.6,2,3,"{'Bullish': {'ema_x': 2, 'ema_y': 232, 'profit_factor': 1.26}, 'Bearish': {'ema_x': 72, 'ema_y': 92, 'profit_factor': 1.65}, 'Sideways': {'ema_x': 22, 'ema_y': 52, 'profit_factor': 2.0}}"
NVDA,15m,253,286,329983.47,229.98,-85.19,-315.17,236.39,-6.41,2.71,2.1,3.03,7.68,3.69,10.05,7.68,1.23,-29.94,2,14,71.43,1.08,10.79,16427.39,2.1,0.4509,84.89,0.0,7,85.71,278.19,7,57.14,-12.75,3,1,20.71,-14.02,285.6,-20.42,18.59,16.48,2.024,0.064,False,0.0002,True,85581.95,331615.13,945299.83,0.4,0.2,5.38,100.0,3453888.43,11.61,-29.07,86.93,1,3,"{'Bullish': {'ema_x': 252, 'ema_y': 262, 'profit_factor': 1.26}, 'Bearish': {'ema_x': 2, 'ema_y': 92, 'profit_factor': 1.87}, 'Sideways': {'ema_x': 212, 'ema_y': 292, 'profit_factor': 2.15}}"
XRP,2h,4,13,327551.6,227.55,-81.2,-308.75,-9.64,237.19,1.3,2.1,1.74,5.74,1.37,15.92,5.74,0.57,-39.65,68,358,70.95,0.53,0.4,635.62,2.1,0.1617,25.48,0.0,179,70.39,92.81,179,71.51,69.89,12,4,2.09,-3.72,11.2,-3.03,1.66,3.5,2.098,0.0366,True,0.0663,False,112301.55,329724.81,1098230.06,0.2,0.59,4.34,100.0,266.82,69.19,8.15,146.63,3,3,"{'Bullish': {'ema_x': 22, 'ema_y': 142, 'profit_factor': 1.17}, 'Bearish': {'ema_x': 2, 'ema_y': 42, 'profit_factor': 2.22}, 'Sideways': {'ema_x': 12, 'ema_y': 62, 'profit_factor': 2.28}}"
NVDA,1h,10,12,323805.48,223.81,-88.89,-312.7,156.93,66.87,1.24,1.74,1.49,4.6,1.36,23.8,4.6,0.52,-48.7,133,250,74.0,0.44,0.69,895.22,1.74,0.1423,26.59,0.0,125,80.8,292.37,125,67.2,-17.47,17,3,3.51,-7.34,16.0,-4.73,2.95,3.69,1.741,0.0829,False,0.9346,False,50815.51,327478.05,2055167.92,4.8,0.06,4.22,64.5,1212.15,33.88,-7.74,63.85,2,3,"{'Bullish': {'ema_x': 22, 'ema_y': 32, 'profit_factor': 0.73}, 'Bearish': {'ema_x': 2, 'ema_y': 172, 'profit_factor': 1.61}, 'Sideways': {'ema_x': 2, 'ema_y': 12, 'profit_factor': 1.31}}"
OIL,30m,216,296,306287.98,206.29,-71.78,-278.07,40.19,166.1,26.03,5.23,0.0,25.65,15.73,1.95,25.65,7.3,-8.04,1,16,93.75,1.74,7.4,12893.0,5.23,0.9015,175.8,0.0,8,100.0,112.6,8,87.5,44.07,14,1,8.43,-8.04,249.9,-6.07,9.57,10.04,5.064,0.0001,True,0.0,True,205332.99,308298.96,431957.87,0.0,2.75,11.3,100.0,13393.16,32.27,13.7,57.02,3,3,"{'Bullish': {'ema_x': 232, 'ema_y': 262, 'profit_factor': 37.85}, 'Bearish': {'ema_x': 192, 'ema_y': 282, 'profit_factor': 999.0}, 'Sideways': {'ema_x': 202, 'ema_y': 282, 'profit_factor': 30.8}}"
XAG,4h,25,31,295828.57,195.83,-78.28,-274.11,253.46,-57.63,1.44,1.94,2.16,7.81,1.57,9.75,7.81,0.51,-25.08,16,113,77.88,0.41,1.19,1733.0,1.94,0.2386,36.03,0.0,57,84.21,279.93,56,71.43,-22.14,10,2,4.22,-9.45,35.4,-5.72,3.93,11.36,1.931,0.0561,False,0.2779,False,85675.31,303763.05,932758.74,2.0,0.21,4.27,100.0,81.12,41.19,15.75,80.98,3,3,"{'Bullish': {'ema_x': 12, 'ema_y': 22, 'profit_factor': 1.13}, 'Bearish': {'ema_x': 12, 'ema_y': 62, 'profit_factor': 3.9}, 'Sideways': {'ema_x': 22, 'ema_y': 32, 'profit_factor': 1.04}}"
XRP,4h,38,222,293966.8,193.97,-76.46,-270.42,38.66,155.3,1.77,2.28,2.15,4.92,2.38,14.52,4.92,0.91,-39.46,10,41,80.49,0.43,3.08,4730.9,2.28,0.3494,52.21,0.0,21,90.48,118.35,20,70.0,34.63,17,2,6.61,-11.47,97.5,-8.32,6.53,7.25,2.252,0.0299,True,0.4248,False,98868.44,303688.34,792492.35,0.6,0.34,6.38,100.0,80.49,-9.3,-40.75,12.11,2,3,"{'Bullish': {'ema_x': 282, 'ema_y': 292, 'profit_factor': 1.76}, 'Bearish': {'ema_x': 2, 'ema_y': 262, 'profit_factor': 1.65}, 'Sideways': {'ema_x': 2, 'ema_y': 62, 'profit_factor': 1.42}}"
GOOGL,3h,18,37,285719.86,185.72,-95.83,-281.55,-4.78,190.5,1.09,1.8,1.33,2.31,1.58,31.46,2.31,0.51,-80.28,26,129,78.29,0.3,1.8,1439.69,1.8,0.0644,15.77,0.0,64,81.25,228.37,65,75.38,-12.99,16,2,6.27,-14.31,31.0,-8.23,5.72,4.43,1.791,0.0756,False,0.3982,False,9141.04,312254.48,3442626.3,18.6,-0.03,4.35,71.1,115.23,64.21,-70.43,242.96,2,3,"{'Bullish': {'ema_x': 32, 'ema_y': 52, 'profit_factor': 0.82}, 'Bearish': {'ema_x': 22, 'ema_y': 42, 'profit_factor': 1.93}, 'Sideways': {'ema_x': 2, 'ema_y': 32, 'profit_factor': 1.35}}"
NVDA,30m,2,3,283368.51,183.37,-87.54,-270.91,-7.16,190.53,1.12,1.57,1.38,2.9,1.15,33.36,2.9,0.54,-63.17,614,1029,70.65,0.47,0.15,178.2,1.57,0.0759,12.41,0.0,514,69.65,118.84,515,71.65,29.49,17,9,1.65,-3.45,3.9,-2.06,1.22,1.78,1.566,0.1177,False,0.695,False,54233.1,303650.85,1878579.07,4.2,0.01,3.63,71.4,9496.28,31.45,-27.48,87.78,2,3,"{'Bullish': {'ema_x': 2, 'ema_y': 12, 'profit_factor': 0.74}, 'Bearish': {'ema_x': 12, 'ema_y': 42, 'profit_factor': 1.05}, 'Sideways': {'ema_x': 142, 'ema_y': 272, 'profit_factor': 0.88}}"
ETH,15m,2,10,278833.06,178.83,-80.95,-259.78,160.18,18.66,1.15,1.7,1.16,3.35,1.27,23.73,3.35,0.51,-53.43,142,601,75.04,0.38,0.24,297.56,1.7,0.0957,14.36,0.0,301,74.42,248.55,300,75.67,-20.0,14,7,1.52,-3.61,6.7,-2.21,1.2,9.01,1.703,0.0891,False,0.5485,False,51780.26,304798.26,1169246.46,4.8,-0.05,4.05,36.7,790679.8,26.99,-14.44,94.16,2,3,"{'Bullish': {'ema_x': 2, 'ema_y': 12, 'profit_factor': 0.77}, 'Bearish': {'ema_x': 32, 'ema_y': 82, 'profit_factor': 1.35}, 'Sideways': {'ema_x': 2, 'ema_y': 12, 'profit_factor': 0.82}}"
XAU,2h,151,275,271440.23,171.44,-71.23,-242.67,-31.59,203.03,4.11,2.81,3.85,9.08,4.9,6.03,9.08,1.64,-18.88,5,16,81.25,0.95,6.93,10715.01,2.81,0.6149,89.57,0.0,8,75.0,42.82,8,87.5,90.06,4,1,10.72,-9.48,249.9,-12.78,11.36,7.23,2.722,0.0158,True,0.1254,False,139703.63,269619.34,473535.09,0.0,0.97,6.89,100.0,198.58,30.53,-2.74,55.11,2,3,"{'Bullish': {'ema_x': 92, 'ema_y': 132, 'profit_factor': 3.11}, 'Bearish': {'ema_x': 132, 'ema_y': 282, 'profit_factor': 2.16}, 'Sideways': {'ema_x': 42, 'ema_y': 52, 'profit_factor': 1.98}}"
XAG,15m,278,296,265905.91,165.91,-72.41,-238.31,139.43,26.48,3.28,2.46,8.37,10.41,4.36,5.17,10.41,2.38,-15.93,1,14,78.57,0.89,7.93,11850.42,2.46,0.5461,76.01,0.0,7,100.0,163.91,7,57.14,0.76,7,1,13.1,-11.0,285.6,-14.71,12.56,3.99,2.366,0.0342,True,0.0,True,127220.55,275426.1,514014.76,0.0,0.78,5.28,100.0,521937.32,-0.09,-35.42,34.63,2,3,"{'Bullish': {'ema_x': 212, 'ema_y': 272, 'profit_factor': 1.86}, 'Bearish': {'ema_x': 282, 'ema_y': 292, 'profit_factor': 4.5}, 'Sideways': {'ema_x': 252, 'ema_y': 292, 'profit_factor': 1.77}}"
