symbol,timeframe,ema_x,ema_y,final_balance,profit_pct,profit_pct_no_shift,lookahead_delta,bh_return_pct,alpha_pct,profit_factor,sharpe,sortino,calmar,omega_ratio,ulcer_index,recovery_factor,tail_ratio,max_drawdown_pct,max_dd_bars,total_trades,win_rate_pct,payoff_ratio,expectancy_pct,expectancy_dol,sqn,kelly_fraction,kelly_profit_pct,risk_of_ruin_pct,long_trades,long_win_rate,long_profit_pct,short_trades,short_win_rate,short_profit_pct,max_consec_wins,max_consec_loss,avg_win_pct,avg_loss_pct,avg_hold_bars,avg_mae_pct,avg_mfe_pct,avg_edge_ratio,t_stat,p_value,is_significant,ljung_box_p,has_autocorrelation,mc_p5,mc_p50,mc_p95,mc_prob_ruin,mc_sharpe_p5,mc_sharpe_p95,robustness_score,cagr_pct,wf_oos_avg,wf_oos_min,wf_oos_max,wf_oos_positive_folds,wf_oos_total_folds,regime_best_emas
XAG,5m,53,64,201381.94,101.38,-67.53,-168.91,291.87,-190.49,1.75,1.49,1.31,2.25,1.78,20.99,2.25,0.86,-45.07,37,50,74.0,0.62,1.84,2027.64,1.49,0.3176,31.24,0.0,25,88.0,224.1,25,60.0,-37.86,7,3,5.66,-9.02,80.0,-8.77,5.13,6.35,1.479,0.1455,False,0.1117,False,58900.38,203374.69,533166.88,3.4,-0.23,4.14,99.2,9619727924.25,28.48,-18.41,97.54,2,3,"{'Bullish': {'ema_x': 2, 'ema_y': 22, 'profit_factor': 0.87}, 'Bearish': {'ema_x': 32, 'ema_y': 82, 'profit_factor': 3.42}, 'Sideways': {'ema_x': 42, 'ema_y': 72, 'profit_factor': 3.04}}"
XAU,30m,91,230,198208.24,98.21,-58.9,-157.11,-3.18,101.39,2.05,1.94,2.42,4.75,2.54,7.53,4.75,1.26,-20.68,4,24,75.0,0.68,3.24,4092.01,1.94,0.3849,33.04,0.0,12,66.67,41.9,12,83.33,39.68,7,2,7.12,-8.4,166.6,-11.76,7.87,3.86,1.903,0.0696,False,0.0303,True,101846.01,202449.8,369610.85,0.2,0.27,5.29,100.0,1904.15,-0.35,-17.09,24.45,1,3,"{'Bullish': {'ema_x': 112, 'ema_y': 212, 'profit_factor': 2.92}, 'Bearish': {'ema_x': 72, 'ema_y': 82, 'profit_factor': 1.59}, 'Sideways': {'ema_x': 62, 'ema_y': 82, 'profit_factor': 2.04}}"
ETH,30m,228,294,196748.47,96.75,-62.78,-159.52,19.99,76.75,2.87,1.66,1.48,2.41,2.73,17.34,2.41,1.21,-40.17,9,17,82.35,0.61,4.94,5691.09,1.66,0.5363,50.07,0.0,8,87.5,71.85,9,77.78,14.49,8,2,9.46,-16.15,235.2,-15.49,10.87,13.49,1.608,0.1273,False,0.0013,True,68473.91,195820.03,462839.11,1.8,-0.1,6.24,100.0,1840.27,20.39,12.92,28.01,3,3,"{'Bullish': {'ema_x': 2, 'ema_y': 72, 'profit_factor': 1.2}, 'Bearish': {'ema_x': 252, 'ema_y': 272, 'profit_factor': 2.46}, 'Sideways': {'ema_x': 242, 'ema_y': 292, 'profit_factor': 5.95}}"
OIL,5m,117,272,186856.18,86.86,-49.37,-136.22,10.82,76.04,4.95,3.45,4.04,6.72,5.61,3.24,6.72,1.7,-12.93,3,23,82.61,1.04,2.83,3776.36,3.45,0.6593,51.89,0.0,11,90.91,45.78,12,75.0,28.18,11,2,4.17,-3.53,173.8,-5.96,4.52,2.18,3.37,0.0028,True,0.0201,True,139612.6,189048.36,249817.36,0.0,1.68,6.86,100.0,1348173247.51,8.65,-18.2,34.35,2,3,"{'Bullish': {'ema_x': 242, 'ema_y': 292, 'profit_factor': 999.0}, 'Bearish': {'ema_x': 202, 'ema_y': 222, 'profit_factor': 4.17}, 'Sideways': {'ema_x': 282, 'ema_y': 292, 'profit_factor': 34.58}}"
XRP,30m,5,12,167624.62,67.62,-66.64,-134.27,134.79,-67.16,1.11,1.09,0.91,1.53,1.19,24.25,1.53,0.52,-44.22,218,347,71.76,0.44,0.24,194.88,1.09,0.0725,5.98,0.0,173,74.57,133.39,174,68.97,-28.18,16,4,2.09,-4.47,11.5,-3.22,1.67,3.75,1.089,0.2768,False,0.6438,False,43228.54,171307.68,529868.58,7.4,-0.56,2.84,66.3,861.48,4.98,-27.33,68.31,1,3,"{'Bullish': {'ema_x': 2, 'ema_y': 12, 'profit_factor': 1.05}, 'Bearish': {'ema_x': 42, 'ema_y': 72, 'profit_factor': 2.01}, 'Sideways': {'ema_x': 32, 'ema_y': 152, 'profit_factor': 2.18}}"
XRP,5m,299,300,165024.78,65.02,-45.95,-110.97,-7.0,72.03,4.07,2.08,3.43,3.28,3.64,7.38,3.28,1.16,-19.84,4,12,83.33,0.81,4.56,5418.73,2.08,0.6288,38.51,0.0,6,83.33,24.59,6,83.33,32.45,9,2,7.54,-10.35,333.2,-15.72,12.76,3.4,1.989,0.0722,False,0.0,True,100435.79,161529.56,245487.61,0.0,0.18,7.98,100.0,51557365.78,11.73,-1.72,32.54,2,3,"{'Bullish': {'ema_x': 112, 'ema_y': 282, 'profit_factor': 3.15}, 'Bearish': {'ema_x': 12, 'ema_y': 242, 'profit_factor': 3.72}, 'Sideways': {'ema_x': 62, 'ema_y': 272, 'profit_factor': 1.56}}"
XRP,15m,2,3,163577.23,63.58,-68.39,-131.96,52.92,10.66,1.05,1.03,0.91,1.52,1.1,18.52,1.52,0.5,-41.73,349,1000,69.4,0.46,0.08,63.58,1.03,0.0348,2.9,0.09,500,70.2,89.13,500,68.6,-13.51,14,5,1.33,-2.74,4.0,-1.69,0.95,1.82,1.03,0.3035,False,0.0013,True,39963.83,174767.48,676186.18,9.2,-0.63,2.97,4.8,7326.43,7.76,-17.54,34.47,2,3,"{'Bullish': {'ema_x': 122, 'ema_y': 132, 'profit_factor': 0.96}, 'Bearish': {'ema_x': 112, 'ema_y': 182, 'profit_factor': 8.75}, 'Sideways': {'ema_x': 142, 'ema_y': 172, 'profit_factor': 1.37}}"
SOL,5m,150,288,159752.8,59.75,-63.13,-122.88,-34.0,93.75,1.48,1.09,1.81,1.56,1.89,15.49,1.56,0.6,-38.36,5,17,82.35,0.32,4.42,3514.87,1.09,0.2661,19.92,0.0,9,77.78,14.92,8,87.5,39.01,8,1,11.41,-28.18,235.2,-17.36,11.02,10.92,1.061,0.3046,False,0.0,True,41405.33,170052.97,554888.83,8.0,-0.53,5.57,100.0,21986205.51,37.34,-60.22,147.54,2,3,"{'Bullish': {'ema_x': 142, 'ema_y': 272, 'profit_factor': 1.78}, 'Bearish': {'ema_x': 12, 'ema_y': 142, 'profit_factor': 2.15}, 'Sideways': {'ema_x': 152, 'ema_y': 282, 'profit_factor': 1.83}}"
SOL,2h,108,160,156254.21,56.25,-53.47,-109.72,-48.8,105.05,1.4,1.04,1.19,1.59,1.73,15.69,1.59,0.71,-35.42,7,24,75.0,0.47,2.94,2343.93,1.04,0.2134,14.97,0.0,13,69.23,-4.62,11,81.82,63.83,9,1,9.28,-16.08,166.6,-14.44,10.92,6.98,1.017,0.3199,False,0.2849,False,41239.41,153564.01,469313.66,7.4,-0.62,3.76,73.6,63.05,-17.98,-33.81,2.29,1,3,"{'Bullish': {'ema_x': 162, 'ema_y': 222, 'profit_factor': 2.74}, 'Bearish': {'ema_x': 102, 'ema_y': 222, 'profit_factor': 1.07}, 'Sideways': {'ema_x': 172, 'ema_y': 222, 'profit_factor': 1.08}}"
XAG,1h,113,142,153073.05,53.07,-62.11,-115.18,194.03,-140.96,1.4,1.05,0.89,1.06,1.73,28.77,1.06,0.38,-49.91,18,24,79.17,0.37,3.03,2211.38,1.05,0.2245,16.21,0.0,12,91.67,161.0,12,66.67,-41.35,8,1,9.06,-19.9,166.6,-12.74,8.54,2.99,1.027,0.315,False,0.0487,True,34380.42,154515.76,510420.64,10.4,-0.57,4.67,100.0,154.14,21.97,0.48,57.45,3,3,"{'Bullish': {'ema_x': 2, 'ema_y': 42, 'profit_factor': 0.87}, 'Bearish': {'ema_x': 32, 'ema_y': 42, 'profit_factor': 2.06}, 'Sideways': {'ema_x': 132, 'ema_y': 172, 'profit_factor': 2.02}}"
OIL,4h,195,214,141399.52,41.4,-45.09,-86.49,130.85,-89.45,1.53,1.0,0.85,0.95,1.84,18.25,0.95,0.48,-43.69,12,22,86.36,0.24,2.2,1881.8,1.0,0.2986,14.24,0.0,11,90.91,96.98,11,81.82,-28.22,10,1,5.58,-19.24,181.7,-8.82,5.83,4.49,0.98,0.3381,False,0.187,False,51679.4,156758.48,306858.02,4.8,-0.69,6.7,100.0,20.89,-7.2,-26.63,28.29,1,3,"{'Bullish': {'ema_x': 22, 'ema_y': 32, 'profit_factor': 2.73}, 'Bearish': {'ema_x': 42, 'ema_y': 62, 'profit_factor': 7.46}, 'Sideways': {'ema_x': 282, 'ema_y': 292, 'profit_factor': 1.24}}"
OIL,2h,173,289,140767.78,40.77,-64.05,-104.82,104.95,-64.18,1.22,1.11,0.0,0.63,2.23,28.13,0.63,10.75,-64.62,5,20,95.0,0.06,3.98,2038.39,1.11,0.1722,13.7,0.0,10,100.0,128.32,10,90.0,-38.35,15,1,7.59,-64.62,199.9,-10.01,7.91,5.4,1.08,0.2936,False,0.0029,True,15169.5,148624.07,494439.41,22.4,-0.56,13.05,100.0,45.44,-11.64,-57.74,16.66,2,3,"{'Bullish': {'ema_x': 12, 'ema_y': 22, 'profit_factor': 0.75}, 'Bearish': {'ema_x': 2, 'ema_y': 52, 'profit_factor': 8.78}, 'Sideways': {'ema_x': 172, 'ema_y': 282, 'profit_factor': 1.67}}"
GOOGL,15m,16,42,139981.21,39.98,-84.5,-124.48,-51.47,91.45,1.06,1.03,0.87,0.57,1.31,34.33,0.57,0.47,-69.86,43,116,73.28,0.39,1.07,344.67,1.03,0.0413,5.13,0.03,57,73.68,25.25,59,72.88,11.76,23,3,6.11,-12.75,34.5,-8.92,5.07,5.61,1.03,0.3053,False,0.0182,True,10826.04,171096.75,1617459.92,22.6,-0.62,3.54,27.3,1798.96,17.78,-29.76,79.86,2,3,"{'Bullish': {'ema_x': 22, 'ema_y': 32, 'profit_factor': 2.38}, 'Bearish': {'ema_x': 22, 'ema_y': 42, 'profit_factor': 1.11}, 'Sideways': {'ema_x': 252, 'ema_y': 292, 'profit_factor': 1.22}}"
SOL,4h,20,29,139410.5,39.41,-74.51,-113.92,-49.37,88.78,1.08,0.94,0.75,0.67,1.29,31.62,0.67,0.4,-58.54,76,116,72.41,0.41,0.79,339.75,0.94,0.0564,5.13,0.0,58,68.97,14.68,58,75.86,21.57,16,3,4.88,-9.96,34.5,-7.21,4.21,3.93,0.931,0.3538,False,0.6903,False,21002.8,140435.98,829137.24,19.6,-0.6,3.19,39.8,19.96,16.92,2.83,42.21,3,3,"{'Bullish': {'ema_x': 2, 'ema_y': 12, 'profit_factor': 1.46}, 'Bearish': {'ema_x': 22, 'ema_y': 112, 'profit_factor': 0.79}, 'Sideways': {'ema_x': 12, 'ema_y': 22, 'profit_factor': 2.51}}"
XAG,3h,110,280,138015.38,38.02,399.36,361.35,794.36,-756.35,1.19,-1.24,-0.87,0.21,0.16,127.81,0.21,0.05,-179.58,11,15,33.33,2.38,-23.58,2534.36,-1.24,0.0528,-18.16,0.0,7,14.29,29.58,8,50.0,6.51,3,5,-49.12,-10.81,266.5,-35.22,5.21,4.54,-1.202,0.2492,False,0.0,True,-350903.11,13591.17,367389.76,58.4,-2.19,3.54,66.1,26.53,-52.89,-129.55,18.82,1,3,"{'Bullish': {'ema_x': 12, 'ema_y': 262, 'profit_factor': 1.13}, 'Bearish': {'ema_x': 42, 'ema_y': 72, 'profit_factor': 14.34}, 'Sideways': {'ema_x': 2, 'ema_y': 72, 'profit_factor': 1.43}}"
TSLA,4h,2,3,137490.84,37.49,-70.64,-108.13,90.97,-53.48,1.03,0.84,0.71,0.51,1.08,39.05,0.51,0.5,-74.11,620,1014,69.63,0.45,0.08,36.97,0.84,0.0229,1.86,1.02,508,71.06,112.87,506,68.18,-35.41,15,8,1.51,-3.19,3.9,-2.01,1.09,2.42,0.843,0.3993,False,0.9278,False,26580.17,138013.35,763003.37,17.8,-0.68,2.8,4.8,19.05,17.86,-15.47,49.85,2,3,"{'Bullish': {'ema_x': 22, 'ema_y': 222, 'profit_factor': 0.81}, 'Bearish': {'ema_x': 12, 'ema_y': 42, 'profit_factor': 2.06}, 'Sideways': {'ema_x': 2, 'ema_y': 42, 'profit_factor': 1.13}}"
OIL,1h,35,48,135121.82,35.12,-37.88,-73.0,164.75,-129.63,1.23,0.96,0.88,1.46,1.37,10.61,1.46,0.54,-24.01,20,66,75.76,0.39,0.59,532.15,0.96,0.142,5.52,0.0,33,90.91,99.42,33,60.61,-32.24,13,3,2.86,-6.5,60.6,-4.75,2.65,7.08,0.956,0.3427,False,0.203,False,66582.5,135558.96,261842.67,1.0,-0.57,3.25,100.0,93.37,13.01,-18.14,65.19,1,3,"{'Bullish': {'ema_x': 222, 'ema_y': 272, 'profit_factor': 31.97}, 'Bearish': {'ema_x': 252, 'ema_y': 292, 'profit_factor': 21.55}, 'Sideways': {'ema_x': 12, 'ema_y': 62, 'profit_factor': 1.35}}"
XRP,3h,87,121,134535.87,34.54,-58.02,-92.55,-61.21,95.75,1.19,0.91,0.75,0.64,1.67,28.35,0.64,1.1,-54.09,9,26,69.23,0.53,2.45,1328.3,0.91,0.109,6.87,0.0,13,69.23,-24.03,13,69.23,77.08,9,2,8.82,-11.87,153.8,-12.48,8.09,37.53,0.89,0.382,False,0.1509,False,26307.01,150179.83,492718.55,12.2,-0.61,5.02,77.7,24.19,-19.17,-37.66,10.85,1,3,"{'Bullish': {'ema_x': 2, 'ema_y': 42, 'profit_factor': 1.76}, 'Bearish': {'ema_x': 12, 'ema_y': 22, 'profit_factor': 1.01}, 'Sideways': {'ema_x': 2, 'ema_y': 12, 'profit_factor': 0.91}}"
XAG,2h,202,295,123292.87,23.29,-75.63,-98.92,120.82,-97.53,1.07,1.05,0.87,0.32,2.01,38.34,0.32,0.75,-73.53,5,15,80.0,0.27,6.55,1552.86,1.05,0.0498,4.89,0.0,7,85.71,159.96,8,75.0,-52.57,10,2,16.33,-32.57,266.5,-15.93,14.75,5.71,1.015,0.3274,False,0.0046,True,10165.43,152868.52,863791.93,22.2,-0.47,7.22,79.3,25.78,20.09,-37.26,72.49,2,3,"{'Bullish': {'ema_x': 202, 'ema_y': 292, 'profit_factor': 0.86}, 'Bearish': {'ema_x': 42, 'ema_y': 62, 'profit_factor': 1.5}, 'Sideways': {'ema_x': 52, 'ema_y': 92, 'profit_factor': 1.4}}"
ETH,4h,12,13,120871.65,20.87,-55.25,-76.13,1152.01,-1131.14,1.06,0.66,0.57,0.4,1.14,31.14,0.4,0.52,-51.76,153,223,69.06,0.47,0.22,93.59,0.66,0.0373,1.8,0.06,111,81.08,378.72,112,57.14,-74.75,16,4,2.65,-5.2,17.9,-4.18,2.12,2.64,0.661,0.5095,False,0.0001,True,34974.75,122249.35,403272.96,14.2,-0.86,2.57,4.5,10.94,11.48,-31.5,63.52,2,3,"{'Bullish': {'ema_x': 2, 'ema_y': 12, 'profit_factor': 0.97}, 'Bearish': {'ema_x': 2, 'ema_y': 62, 'profit_factor': 1.79}, 'Sideways': {'ema_x': 12, 'ema_y': 32, 'profit_factor': 0.8}}"
NVDA,3h,262,295,119021.66,19.02,-40.22,-59.24,75.53,-56.51,1.28,0.6,1.46,0.68,1.5,13.49,0.68,1.13,-27.9,6,11,63.64,0.73,3.06,1729.24,0.6,0.1408,4.51,0.0,6,83.33,56.66,5,40.0,-24.02,3,2,14.32,-16.66,363.5,-26.58,11.33,6.09,0.572,0.5802,False,,False,44530.97,111406.52,264057.03,8.2,-1.09,2.42,92.6,13.56,-12.85,-34.45,23.76,1,3,"{'Bullish': {'ema_x': 262, 'ema_y': 292, 'profit_factor': 2.1}, 'Bearish': {'ema_x': 252, 'ema_y': 292, 'profit_factor': 999.0}, 'Sideways': {'ema_x': 2, 'ema_y': 72, 'profit_factor': 1.89}}"
XAU,4h,32,34,109701.46,9.7,-39.34,-49.04,378.41,-368.7,1.04,0.56,0.5,0.24,1.19,21.13,0.24,0.39,-40.41,40,79,68.35,0.48,0.52,122.8,0.56,0.0255,1.04,0.61,40,75.0,188.51,39,61.54,-61.98,13,5,4.81,-8.75,50.6,-7.38,4.25,4.59,0.553,0.5818,False,0.4972,False,23874.58,112236.59,389965.35,17.8,-1.12,2.81,7.9,5.2,13.84,-0.94,34.62,2,3,"{'Bullish': {'ema_x': 2, 'ema_y': 62, 'profit_factor': 0.99}, 'Bearish': {'ema_x': 12, 'ema_y': 52, 'profit_factor': 2.86}, 'Sideways': {'ema_x': 62, 'ema_y': 242, 'profit_factor': 1.5}}"
ETH,5m,37,96,101547.21,1.55,-55.8,-57.35,3.21,-1.66,1.0,0.57,0.45,0.02,1.26,37.89,0.02,0.42,-74.15,20,51,76.47,0.31,0.94,30.34,0.57,0.0027,0.13,57.91,26,84.62,21.02,25,68.0,-16.09,9,2,5.96,-15.34,78.4,-9.1,5.5,4.32,0.564,0.5756,False,0.3688,False,20670.68,124625.63,471144.15,21.4,-0.79,3.32,0.8,49.76,-23.81,-41.34,-14.06,0,3,"{'Bullish': {'ema_x': 2, 'ema_y': 32, 'profit_factor': 1.13}, 'Bearish': {'ema_x': 182, 'ema_y': 242, 'profit_factor': 2.26}, 'Sideways': {'ema_x': 82, 'ema_y': 172, 'profit_factor': 1.38}}"
TSLA,15m,41,57,100246.96,0.25,-67.21,-67.46,225.62,-225.37,1.0,0.64,0.53,0.0,1.25,58.3,0.0,0.41,-81.26,61,66,75.76,0.32,0.95,3.74,0.64,0.001,0.06,82.35,32,81.25,168.19,34,70.59,-62.62,14,3,6.28,-15.72,60.6,-10.22,5.85,4.59,0.631,0.5305,False,0.7148,False,12652.35,100431.53,536360.79,30.4,-0.92,2.94,5.8,2.21,48.56,-39.68,159.34,2,3,"{'Bullish': {'ema_x': 72, 'ema_y': 152, 'profit_factor': 0.67}, 'Bearish': {'ema_x': 2, 'ema_y': 72, 'profit_factor': 1.32}, 'Sideways': {'ema_x': 32, 'ema_y': 192, 'profit_factor': 0.74}}"
NVDA,4h,115,201,98073.27,-1.93,-64.76,-62.84,-30.24,28.31,0.99,0.67,0.62,-0.03,1.64,39.48,-0.03,1.19,-69.04,8,16,68.75,0.45,3.83,-120.42,0.67,0.0,0.0,100.0,8,75.0,-15.42,8,62.5,15.96,4,3,14.32,-19.27,249.9,-24.75,12.25,23.26,0.644,0.5291,False,0.0138,True,8007.61,115812.78,617274.1,28.2,-1.01,3.73,0.0,-1.06,6.67,-59.52,83.57,1,3,"{'Bullish': {'ema_x': 72, 'ema_y': 102, 'profit_factor': 0.94}, 'Bearish': {'ema_x': 82, 'ema_y': 282, 'profit_factor': 1.4}, 'Sideways': {'ema_x': 42, 'ema_y': 82, 'profit_factor': 1.82}}"
ETH,3h,9,35,92577.29,-7.42,-52.56,-45.14,525.68,-533.1,0.98,0.49,0.33,-0.11,1.14,27.85,-0.11,0.57,-66.51,35,169,76.33,0.31,0.25,-43.92,0.49,0.0,0.0,100.0,84,83.33,234.54,85,69.41,-72.33,15,3,2.67,-7.56,23.7,-4.78,2.35,3.0,0.488,0.6265,False,0.4192,False,14564.54,100545.36,440348.97,26.6,-0.98,2.96,0.0,-5.47,10.43,-35.75,35.26,2,3,"{'Bullish': {'ema_x': 12, 'ema_y': 22, 'profit_factor': 0.71}, 'Bearish': {'ema_x': 2, 'ema_y': 72, 'profit_factor': 5.42}, 'Sideways': {'ema_x': 2, 'ema_y': 42, 'profit_factor': 1.08}}"
XAU,15m,21,32,86893.76,-13.11,-23.46,-10.35,-1.8,-11.3,0.96,0.12,0.12,-0.23,1.03,19.57,-0.23,0.5,-57.14,36,104,71.15,0.39,0.07,-126.02,0.12,0.0,0.0,100.0,52,71.15,2.15,52,71.15,-14.93,10,3,3.24,-7.74,38.4,-6.28,2.87,2.03,0.116,0.9077,False,0.0172,True,25163.0,88945.44,262010.3,22.4,-1.61,2.18,0.0,-70.77,-2.25,-45.38,42.13,1,3,"{'Bullish': {'ema_x': 12, 'ema_y': 22, 'profit_factor': 1.21}, 'Bearish': {'ema_x': 42, 'ema_y': 92, 'profit_factor': 2.21}, 'Sideways': {'ema_x': 2, 'ema_y': 12, 'profit_factor': 1.21}}"
GOOGL,1h,6,7,62974.63,-37.03,-65.48,-28.45,-18.77,-18.26,0.92,0.31,0.28,-0.47,1.05,54.67,-0.47,0.41,-78.42,335,384,71.35,0.37,0.1,-96.42,0.31,0.0,0.0,100.0,191,71.73,4.79,193,70.98,-39.9,12,4,3.18,-7.58,10.4,-4.9,2.53,2.32,0.309,0.7572,False,0.3293,False,6504.56,72500.11,565599.36,41.0,-1.31,2.21,0.0,-63.7,18.38,-33.45,79.17,2,3,"{'Bullish': {'ema_x': 2, 'ema_y': 42, 'profit_factor': 1.08}, 'Bearish': {'ema_x': 2, 'ema_y': 12, 'profit_factor': 1.16}, 'Sideways': {'ema_x': 22, 'ema_y': 62, 'profit_factor': 1.03}}"
GOOGL,30m,5,7,27523.82,-72.48,-34.07,38.41,40.82,-113.29,0.91,-0.28,-0.24,-0.8,0.96,61.48,-0.8,0.39,-90.65,277,399,71.43,0.36,-0.09,-181.64,-0.28,0.0,0.0,100.0,199,71.36,2.98,200,71.5,-73.27,13,4,2.98,-7.76,10.0,-4.87,2.33,3.11,-0.277,0.7821,False,0.2912,False,2552.78,30471.57,267199.54,60.8,-1.8,1.5,0.0,-99.65,-31.05,-65.87,25.78,1,3,"{'Bullish': {'ema_x': 2, 'ema_y': 12, 'profit_factor': 0.82}, 'Bearish': {'ema_x': 12, 'ema_y': 62, 'profit_factor': 0.99}, 'Sideways': {'ema_x': 2, 'ema_y': 12, 'profit_factor': 1.02}}"
