symbol,timeframe,ema_x,ema_y,final_balance,profit_pct,profit_pct_no_shift,lookahead_delta,bh_return_pct,alpha_pct,profit_factor,sharpe,sortino,calmar,omega_ratio,ulcer_index,recovery_factor,tail_ratio,max_drawdown_pct,max_dd_bars,total_trades,win_rate_pct,payoff_ratio,expectancy_pct,expectancy_dol,sqn,kelly_fraction,kelly_profit_pct,risk_of_ruin_pct,long_trades,long_win_rate,long_profit_pct,short_trades,short_win_rate,short_profit_pct,max_consec_wins,max_consec_loss,avg_win_pct,avg_loss_pct,avg_hold_bars,avg_mae_pct,avg_mfe_pct,avg_edge_ratio,t_stat,p_value,is_significant,ljung_box_p,has_autocorrelation,mc_p5,mc_p50,mc_p95,mc_prob_ruin,mc_sharpe_p5,mc_sharpe_p95
SOL,3h,212,237,278658.72,178.66,-0.91,-179.57,-68.86,247.52,999.0,2.28,0.0,999.0,999.0,0.0,178.66,0.0,0.0,0,5,100.0,999.0,24.79,35731.74,2.28,1.0,178.66,0.0,2,100.0,37.93,3,100.0,102.03,5,0,24.79,0.0,799.6,-17.52,28.3,3.82,2.038,0.1112,False,1.0,False,162684.77,278658.72,587246.18,0.0,2.0,8.85
SOL,3h,212,232,256331.33,156.33,10.71,-145.62,-68.86,225.19,999.0,2.02,0.0,999.0,999.0,0.0,156.33,0.0,0.0,0,5,100.0,999.0,22.95,31266.27,2.02,1.0,156.33,0.0,2,100.0,32.5,3,100.0,93.46,5,0,22.95,0.0,799.6,-18.55,26.73,3.14,1.809,0.1447,False,1.0,False,147643.58,256331.33,562921.28,0.0,1.78,6.59
SOL,3h,212,227,248847.97,148.85,14.34,-134.51,-68.86,217.71,999.0,1.94,0.0,999.0,999.0,0.0,148.85,0.0,0.0,0,5,100.0,999.0,22.3,29769.59,1.94,1.0,148.85,0.0,2,100.0,30.15,3,100.0,91.19,5,0,22.3,0.0,799.6,-19.12,26.63,3.27,1.737,0.1574,False,1.0,False,138330.05,248847.97,570900.15,0.0,1.68,7.43
SOL,3h,212,222,248847.97,148.85,14.34,-134.51,-68.86,217.71,999.0,1.94,0.0,999.0,999.0,0.0,148.85,0.0,0.0,0,5,100.0,999.0,22.3,29769.59,1.94,1.0,148.85,0.0,2,100.0,30.15,3,100.0,91.19,5,0,22.3,0.0,799.6,-19.12,26.63,3.27,1.737,0.1574,False,1.0,False,138330.05,248847.97,570900.15,0.0,1.68,7.43
SOL,3h,212,217,236111.51,136.11,22.77,-113.35,-68.86,204.97,999.0,1.78,0.0,999.0,999.0,0.0,136.11,0.0,0.0,0,5,100.0,999.0,21.24,27222.3,1.78,1.0,136.11,0.0,2,100.0,28.22,3,100.0,84.15,5,0,21.24,0.0,799.6,-20.11,25.35,3.07,1.591,0.1867,False,1.0,False,128616.51,233617.15,544462.35,0.0,1.5,4.93
SOL,3h,207,297,347537.25,247.54,-28.07,-275.61,-68.86,316.4,999.0,3.14,0.0,999.0,999.0,0.0,247.54,0.0,0.0,0,5,100.0,999.0,29.82,49507.45,3.14,1.0,247.54,0.0,2,100.0,53.8,3,100.0,125.96,5,0,29.82,0.0,799.6,-14.25,32.81,4.45,2.807,0.0485,True,1.0,False,219934.94,352298.77,664311.44,0.0,2.82,12.82
SOL,3h,207,272,326959.83,226.96,-20.96,-247.92,-68.86,295.82,999.0,2.88,0.0,999.0,999.0,0.0,226.96,0.0,0.0,0,5,100.0,999.0,28.39,45391.97,2.88,1.0,226.96,0.0,2,100.0,49.0,3,100.0,119.44,5,0,28.39,0.0,799.6,-15.17,31.83,4.16,2.579,0.0614,False,1.0,False,204836.0,332324.5,647152.33,0.0,2.59,11.64
SOL,3h,192,292,329449.67,229.45,-22.16,-251.61,-68.86,298.31,999.0,2.94,0.0,999.0,999.0,0.0,229.45,0.0,0.0,0,5,100.0,999.0,28.54,45889.93,2.94,1.0,229.45,0.0,2,100.0,49.0,3,100.0,121.11,5,0,28.54,0.0,799.6,-14.84,32.06,4.17,2.626,0.0584,False,1.0,False,205151.62,334855.19,649540.15,0.0,2.63,14.53
SOL,3h,192,287,317810.79,217.81,-17.71,-235.52,-68.86,286.67,999.0,2.77,0.0,999.0,999.0,0.0,217.81,0.0,0.0,0,5,100.0,999.0,27.72,43562.16,2.77,1.0,217.81,0.0,2,100.0,46.67,3,100.0,116.69,5,0,27.72,0.0,799.6,-15.54,31.51,3.92,2.482,0.0681,False,1.0,False,194687.59,322122.43,639453.78,0.0,2.47,12.93
SOL,3h,153,287,224343.81,124.34,29.77,-94.58,-68.86,193.21,999.0,1.65,0.0,999.0,999.0,0.0,124.34,0.0,0.0,0,5,100.0,999.0,20.15,24868.76,1.65,1.0,124.34,0.0,2,100.0,24.65,3,100.0,79.98,5,0,20.15,0.0,799.6,-20.82,24.93,3.05,1.48,0.213,False,1.0,False,118958.16,224343.81,541728.03,0.0,1.37,4.16
